tiempo,entry_id,temperatura,Turbidity(NTU),oxigeno,ph,Ammonia(g/ml),Nitrate(g/ml),Population,Fish_Length(cm),Fish_Weight(g)
2021-06-19 00:00:05,1889,24.875,100,4.505,8.43365,0.45842,193,50,7.11,2.91
2021-06-19 00:01:02,1890,24.9375,100,6.601,8.43818,0.45842,194,50,7.11,2.91
2021-06-19 00:01:22,1891,24.875,100,15.797,8.42457,0.45842,192,50,7.11,2.91
2021-06-19 00:01:44,1892,24.9375,100,5.046,8.43365,0.45842,193,50,7.11,2.91
2021-06-19 00:02:07,1893,24.9375,100,38.407,8.40641,0.45842,192,50,7.11,2.91
2021-06-19 00:02:27,1894,24.9375,100,3.862,8.42003,0.45842,193,50,7.11,2.91
2021-06-19 00:02:47,1895,24.875,100,2.831,8.43818,0.45842,194,50,7.11,2.91
2021-06-19 00:03:07,1896,24.9375,100,5.012,8.42911,0.45842,193,50,7.11,2.91
2021-06-19 00:03:27,1897,24.9375,100,2.916,8.42911,0.45842,192,50,7.11,2.91
2021-06-19 00:03:47,1898,24.875,100,17.005,8.43365,0.45842,192,50,7.11,2.91
2021-06-19 00:04:31,1900,24.875,100,6.964,8.48358,0.45842,191,50,7.11,2.91
2021-06-19 00:05:11,1902,24.9375,100,3.465,8.42911,0.45842,187,50,7.11,2.91
2021-06-19 00:05:59,1903,24.9375,100,4.319,8.42911,0.45842,191,50,7.11,2.91
2021-06-19 00:06:18,1904,24.875,100,24.266,8.43365,0.45842,190,50,7.11,2.91
2021-06-19 00:06:39,1905,24.9375,100,25.204,8.42911,0.45842,188,50,7.11,2.91
2021-06-19 00:06:59,1906,24.875,100,22.618,8.42911,0.45842,191,50,7.11,2.91
2021-06-19 00:07:19,1907,24.875,100,2.484,8.42911,0.45842,191,50,7.11,2.91
2021-06-19 00:07:39,1908,24.875,100,31.898,8.43365,0.45842,191,50,7.11,2.91
2021-06-19 00:07:58,1909,24.875,100,23.928,8.43365,0.45842,191,50,7.11,2.91
2021-06-19 00:08:18,1910,24.875,100,4.124,8.44726,0.45842,192,50,7.11,2.91
2021-06-19 00:08:38,1911,24.875,100,38.652,8.42003,0.45842,192,50,7.11,2.91
2021-06-19 00:08:57,1912,24.875,100,3.465,8.42003,0.45842,204,50,7.11,2.91
2021-06-19 00:09:17,1913,24.875,100,6.592,8.43818,0.45842,192,50,7.11,2.91
2021-06-19 00:09:37,1914,24.875,100,37.925,8.43365,0.45842,191,50,7.11,2.91
2021-06-19 00:09:56,1915,24.875,100,5.612,8.42911,0.45842,191,50,7.11,2.91
2021-06-19 00:10:35,1917,24.9375,100,4.648,8.42911,0.45842,189,50,7.11,2.91
2021-06-19 00:11:32,1918,24.875,100,13.937,8.44726,0.45842,189,50,7.11,2.91
2021-06-19 00:11:51,1919,24.875,100,5.138,8.43818,0.45842,189,50,7.11,2.91
2021-06-19 00:12:11,1920,24.875,100,5.772,8.42003,0.45842,190,50,7.11,2.91
2021-06-19 00:12:50,1922,24.875,100,6.711,8.42003,0.45842,190,50,7.11,2.91
2021-06-19 00:13:10,1923,24.9375,100,19.474,8.44726,0.45842,187,50,7.11,2.91
2021-06-19 00:13:29,1924,24.875,100,7.429,8.42911,0.45842,189,50,7.11,2.91
2021-06-19 00:13:48,1925,24.875,100,5.113,8.42911,0.45842,190,50,7.11,2.91
2021-06-19 00:14:08,1926,24.875,100,5.02,8.42911,0.45842,189,50,7.11,2.91
2021-06-19 00:14:28,1927,24.875,100,23.987,8.43818,0.45842,182,50,7.11,2.91
2021-06-19 00:14:47,1928,24.875,100,4.961,8.42911,0.45842,191,50,7.11,2.91
2021-06-19 00:16:04,1930,24.875,100,5.003,8.42911,0.45842,191,50,7.11,2.91
2021-06-19 00:16:23,1931,24.875,100,6.939,8.43365,0.45842,189,50,7.11,2.91
2021-06-19 00:17:04,1933,24.875,100,0.87,8.43365,0.45842,191,50,7.11,2.91
2021-06-19 00:17:43,1935,24.875,100,38.609,8.42911,0.45842,190,50,7.11,2.91
2021-06-19 00:18:03,1936,24.875,100,6.744,8.43365,0.45842,188,50,7.11,2.91
2021-06-19 00:18:22,1937,24.875,100,7.252,8.43365,0.45842,191,50,7.11,2.91
2021-06-19 00:18:42,1938,24.875,100,11.004,8.44726,0.45842,191,50,7.11,2.91
2021-06-19 00:19:01,1939,24.875,100,6.88,8.43818,0.45842,192,50,7.11,2.91
2021-06-19 00:19:21,1940,24.875,100,3.626,8.42911,0.45842,192,50,7.11,2.91
2021-06-19 00:20:00,1942,24.875,100,10.108,8.42457,0.45842,191,50,7.11,2.91
2021-06-19 00:20:20,1943,24.875,100,14.816,8.43365,0.45842,190,50,7.11,2.91
